#Seen are the grid output values for t=0.300000. If you want to see which gridpoints corrosponds to which coordinate entry, see the gridmapping.txt file
#The following dimensions are plotted:
#Susceptibles
#Exposed
#Infected
#Recovered
#Deaths
#The values are plotted in the above order. Each dimension has 11 rows 
9.23467e+266	inf	-inf	-1.12027e+267	-inf	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	inf	8.9666e+267	
inf	-nan(ind)	-nan(ind)	-inf	-5.03739e+269	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	inf	
-nan(ind)	-nan(ind)	-nan(ind)	-7.63368e+269	1.60139e+264	1.54317e+271	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	
-nan(ind)	-inf	-1.90841e+270	1.20104e+264	1.37685e+24	2.00173e+264	5.18657e+271	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	
-nan(ind)	-1.44755e+270	2.00173e+264	1.37685e+24	4.69584e+27	6.87588e+24	2.00173e+264	3.88985e+271	-nan(ind)	-nan(ind)	-nan(ind)	
-1.28284e+269	2.00173e+264	2.16816e+23	3.33474e+27	6.87588e+24	1.68831e+27	6.87588e+24	1.20104e+264	6.18307e+270	-nan(ind)	-5.13452e+268	
1.20104e+264	1.14216e+21	8.8369e+24	1.37682e+24	4.69584e+27	6.87588e+24	4.69584e+27	1.37685e+24	4.00347e+263	-7.24092e+268	4.00347e+263	
2.29865e+17	5.89543e+17	3.4291e+21	5.0093e+25	1.37685e+24	3.33474e+27	1.37685e+24	5.0093e+25	3.42633e+21	5.71924e+262	6.93835e+16	
-1.25802e+15	3.60128e+17	4.24322e+17	3.42633e+21	8.83254e+24	2.16905e+23	-7.42536e+260	-2.14312e+261	4.24311e+17	3.54953e+17	-5.17538e+14	
-1.58895e+13	-7.77748e+14	3.54932e+17	5.61899e+17	1.10754e+21	-2.3207e+262	inf	-inf	-5.09692e+263	-7.714e+14	-4.81818e+12	
-7.6345e+11	-7.08569e+263	-4.66536e+263	6.21152e+16	-1.96013e+263	inf	-nan(ind)	-nan(ind)	-inf	-5.16305e+265	-3.78762e+11	
-2.66067e+266	-inf	inf	1.11264e+267	inf	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-inf	-4.29243e+267	
-inf	-nan(ind)	-nan(ind)	inf	5.03728e+269	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-inf	
-nan(ind)	-nan(ind)	-nan(ind)	7.63359e+269	-8.83329e+24	-1.54318e+271	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	
-nan(ind)	inf	1.90838e+270	-5.0093e+25	-1.37685e+24	-3.33475e+27	-5.18657e+271	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	
-nan(ind)	1.44752e+270	-8.83262e+24	-1.37685e+24	-4.69584e+27	-6.87588e+24	-4.69584e+27	-3.88985e+271	-nan(ind)	-nan(ind)	-nan(ind)	
1.28261e+269	-1.58011e+22	-2.16816e+23	-3.33474e+27	-6.87588e+24	-1.68831e+27	-6.87588e+24	-3.33474e+27	-6.18308e+270	-nan(ind)	5.1336e+268	
-9.51272e+17	-1.14216e+21	-8.8369e+24	-1.37682e+24	-4.69584e+27	-6.87588e+24	-4.69584e+27	-1.37685e+24	-8.83262e+24	7.24076e+268	-5.87448e+17	
-2.29807e+17	-5.89696e+17	-3.4291e+21	-5.0093e+25	-1.37685e+24	-3.33474e+27	-1.37685e+24	-5.0093e+25	-3.42633e+21	-5.61715e+17	-6.93399e+16	
1.23481e+15	-3.60065e+17	-4.245e+17	-3.42633e+21	-8.83254e+24	-2.16905e+23	-8.83254e+24	-3.42633e+21	-4.24489e+17	-3.54892e+17	5.02267e+14	
2.15274e+13	7.59529e+14	-3.54871e+17	-5.62048e+17	-1.10754e+21	-1.56239e+22	-9.37155e+266	-9.34324e+265	-3.54871e+17	7.53395e+14	8.16303e+12	
-1.14107e+10	8.07695e+12	4.77627e+14	-6.20727e+16	-4.52194e+17	-2.52071e+267	inf	-nan(ind)	-3.32629e+266	8.07411e+12	-3.5162e+10	
7.49982e+07	-2.52276e+262	-1.66103e+262	9.33336e+10	-6.17893e+261	inf	-nan(ind)	-nan(ind)	-inf	-1.82016e+264	1.38458e+08	
-4.83125e+263	-inf	inf	-2.77463e+262	3.01062e+13	5.37239e+264	inf	-nan(ind)	-nan(ind)	-inf	-1.61265e+264	
-inf	inf	8.10094e+262	5.32462e+13	-2.74204e+15	-4.30458e+14	7.41089e+265	inf	-nan(ind)	-nan(ind)	-inf	
inf	-2.85961e+263	5.32461e+13	-6.53129e+15	-1.08507e+15	-5.32996e+16	-1.08507e+15	1.21018e+266	inf	-nan(ind)	inf	
-5.79019e+263	3.02893e+13	-2.74194e+15	-1.08507e+15	-6.32485e+16	-2.42286e+15	-6.32485e+16	-1.08506e+15	3.70523e+265	inf	-3.1227e+263	
3.57966e+12	-1.15395e+14	-4.31194e+14	-5.32996e+16	-2.42286e+15	-3.79234e+16	-2.42286e+15	-5.32996e+16	-4.31194e+14	1.08216e+264	3.57966e+12	
1.1078e+12	3.06785e+13	-2.7426e+15	-1.08506e+15	-6.32485e+16	-2.42286e+15	-6.32485e+16	-1.08507e+15	-2.74194e+15	3.02893e+13	8.84807e+11	
3.53658e+11	1.06353e+12	5.32677e+13	-6.53129e+15	-1.08507e+15	-5.32996e+16	-1.08507e+15	-6.53129e+15	5.32461e+13	1.04284e+12	1.80454e+11	
3.08295e+10	4.55398e+11	-3.43367e+11	5.32461e+13	-2.74193e+15	-4.31281e+14	-2.74193e+15	5.32461e+13	-3.43382e+11	4.52336e+11	1.58339e+10	
-1.73094e+09	2.14306e+10	4.52336e+11	1.04261e+12	3.02085e+13	-1.14747e+14	3.02085e+13	1.04261e+12	4.52336e+11	2.13926e+10	-1.06359e+09	
1.38458e+08	-1.06359e+09	1.56357e+10	1.71119e+11	7.80148e+11	2.68625e+12	7.02765e+260	-1.4701e+261	1.56357e+10	-1.06359e+09	7.49982e+07	
1.42781e+265	inf	-inf	1.4194e+264	-inf	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	inf	1.09987e+266	
inf	-inf	inf	-inf	-1.49942e+266	-inf	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	inf	
-inf	inf	-inf	-1.49601e+264	-2.67837e+17	-2.2324e+267	-inf	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	
inf	-inf	5.75648e+264	-6.75814e+17	3.41204e+18	-5.84701e+18	-5.48056e+267	-inf	-nan(ind)	-nan(ind)	-nan(ind)	
-inf	2.42948e+265	-2.6781e+17	3.41204e+18	-6.90879e+18	5.8429e+18	-6.90879e+18	-4.43975e+267	-inf	-nan(ind)	-inf	
2.50337e+265	-2.66744e+15	1.60587e+18	-5.84699e+18	5.8429e+18	-3.98841e+18	5.8429e+18	-5.84699e+18	-1.07109e+267	-inf	-2.16239e+265	
-9.48535e+14	8.36578e+16	-2.67896e+17	3.41206e+18	-6.90879e+18	5.8429e+18	-6.90879e+18	3.41204e+18	-2.6781e+17	-3.03946e+265	-8.67151e+14	
-4.69092e+13	-2.26168e+15	2.66439e+17	-6.75815e+17	3.41204e+18	-5.84698e+18	3.41204e+18	-6.75814e+17	2.66419e+17	-2.24751e+15	-3.51364e+13	
-2.4314e+13	2.9514e+13	-3.05657e+15	2.66418e+17	-2.67804e+17	1.60582e+18	-2.67804e+17	2.66418e+17	-3.05588e+15	3.01728e+13	-1.59379e+13	
-2.1056e+12	-2.30365e+13	3.01834e+13	-2.24501e+15	8.35776e+16	-2.55166e+15	-1.97386e+262	4.12909e+262	3.01849e+13	-2.29734e+13	-1.16793e+12	
1.2353e+11	-1.16136e+12	-1.5746e+13	-3.23716e+13	-8.41334e+14	-1.89652e+262	-inf	inf	5.92851e+262	-1.15851e+12	6.79616e+10	
0	3.74991e+06	-3.07242e+07	1.07653e+08	-2.83148e+07	-7.73377e+259	inf	-inf	-1.79943e+261	3.74991e+06	0	
3.74991e+06	-1.06132e+260	-7.79785e+259	-1.415e+08	6.55743e+09	6.40735e+09	-3.08004e+261	inf	-inf	-2.40407e+261	6.346e+06	
-2.61084e+260	-3.11914e+260	1.21203e+08	1.46964e+10	4.37539e+10	4.79196e+10	4.37539e+10	-7.17595e+261	inf	-inf	-4.13101e+260	
-3.00752e+260	-1.47475e+08	1.46964e+10	7.13734e+10	7.2141e+10	2.2473e+11	7.2141e+10	7.13734e+10	-4.78625e+261	inf	-2.84623e+260	
-3.28706e+08	6.62387e+09	4.37523e+10	7.2141e+10	2.44881e+11	9.60787e+10	2.44881e+11	7.2141e+10	4.37566e+10	-7.79391e+260	-3.44784e+08	
1.31647e+09	6.46199e+09	4.79407e+10	2.2473e+11	9.60787e+10	1.83615e+11	9.60787e+10	2.2473e+11	4.79407e+10	6.46199e+09	1.31647e+09	
-3.44784e+08	6.67179e+09	4.37566e+10	7.2141e+10	2.44881e+11	9.60787e+10	2.44881e+11	7.2141e+10	4.37523e+10	6.62387e+09	-3.28706e+08	
3.26655e+08	-1.50097e+08	1.46968e+10	7.13734e+10	7.2141e+10	2.2473e+11	7.2141e+10	7.13734e+10	1.46964e+10	-1.47475e+08	2.31668e+08	
-6.70439e+07	3.70594e+08	1.21203e+08	1.46964e+10	4.37523e+10	4.79399e+10	4.37523e+10	1.46964e+10	1.21203e+08	3.69399e+08	-4.37047e+07	
6.346e+06	-5.31561e+07	3.69399e+08	-1.47475e+08	6.62125e+09	6.44799e+09	6.62125e+09	-1.47475e+08	3.69399e+08	-5.31561e+07	3.74991e+06	
0	3.74991e+06	-4.37047e+07	2.27681e+08	-3.10602e+08	1.13487e+09	-3.10602e+08	2.27681e+08	-4.37047e+07	3.74991e+06	0	
